"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2008","211.89","211.69","212.24","211.03","","-0.03%"
"06/20/2008","211.96","212.87","213.16","211.67","","-0.48%"
"06/19/2008","212.99","211.14","213.34","210.75","","0.80%"
"06/18/2008","211.30","211.18","211.55","210.38","","0.03%"
"06/17/2008","211.23","212.38","212.73","210.57","","-0.58%"
"06/16/2008","212.47","210.41","212.87","210.30","","0.91%"
"06/13/2008","210.56","209.89","210.92","209.64","","0.26%"
"06/12/2008","210.02","209.71","210.35","209.43","","0.10%"
"06/11/2008","209.81","209.77","210.67","209.34","","-0.06%"
"06/10/2008","209.94","209.83","210.81","208.53","","-0.05%"
"06/09/2008","210.04","205.81","210.15","205.73","","1.61%"
"06/06/2008","206.71","207.37","208.11","206.61","","-0.39%"
"06/05/2008","207.52","205.64","207.58","205.47","","0.85%"
"06/04/2008","205.78","206.31","206.67","204.42","","-0.26%"
"06/03/2008","206.32","205.20","207.18","203.92","","0.39%"
"06/02/2008","205.51","208.14","208.37","204.57","","-1.75%"
"05/30/2008","209.18","208.54","209.39","207.64","","0.24%"
"05/29/2008","208.67","207.25","209.00","206.74","","0.71%"
"05/28/2008","207.20","205.89","207.74","205.14","","0.57%"
"05/27/2008","206.02","204.80","206.22","204.63","","0.53%"
"05/26/2008","204.94","204.61","205.20","204.20","","0.19%"
"05/23/2008","204.56","206.13","206.29","204.08","","-0.77%"
"05/22/2008","206.14","203.07","206.58","202.64","","1.49%"
"05/21/2008","203.11","203.93","204.02","202.54","","-0.42%"
"05/20/2008","203.97","203.22","204.88","202.65","","0.32%"
"05/19/2008","203.32","203.43","204.13","202.87","","-0.13%"
"05/16/2008","203.58","203.93","204.45","202.55","","-0.20%"
"05/15/2008","203.98","204.49","204.89","203.02","","-0.28%"
"05/14/2008","204.55","203.62","205.00","203.31","","0.30%"
"05/13/2008","203.93","203.14","204.21","201.47","","0.37%"
"05/12/2008","203.18","200.86","203.78","200.13","","1.12%"
"05/09/2008","200.92","202.78","203.31","199.72","","-0.94%"
"05/08/2008","202.82","204.57","204.77","202.32","","-0.77%"
"05/07/2008","204.40","206.66","206.95","204.16","","-1.12%"
"05/06/2008","206.71","206.97","207.22","205.47","","-0.11%"
"05/05/2008","206.93","207.66","208.35","206.42","","-0.34%"
"05/02/2008","207.63","206.26","209.06","206.20","","0.63%"
"05/01/2008","206.32","206.64","207.19","204.77","","-0.05%"
"04/30/2008","206.42","204.93","207.95","203.61","","0.73%"
"04/29/2008","204.92","207.45","207.66","203.39","","-1.15%"
"04/28/2008","207.30","207.20","208.68","206.72","","-0.01%"
"04/25/2008","207.32","205.71","207.70","205.37","","0.76%"
"04/24/2008","205.75","204.64","206.18","204.10","","0.56%"
"04/23/2008","204.60","205.22","206.10","204.06","","-0.41%"
"04/22/2008","205.44","204.36","206.13","203.30","","0.46%"
"04/21/2008","204.49","207.26","208.15","203.87","","-1.23%"
"04/18/2008","207.04","204.00","209.05","203.50","","1.39%"
"04/17/2008","204.20","200.78","204.45","200.47","","1.66%"
"04/16/2008","200.87","199.87","201.01","199.09","","0.45%"
"04/15/2008","199.97","199.79","200.34","198.43","","-0.03%"
"04/14/2008","200.04","199.08","200.82","198.02","","0.53%"
"04/11/2008","198.99","200.56","201.97","198.40","","-0.87%"
"04/10/2008","200.73","200.85","201.30","198.01","","-0.14%"
"04/09/2008","201.01","201.82","202.61","200.52","","-0.48%"
"04/08/2008","201.98","203.52","204.16","201.06","","-0.80%"
"04/07/2008","203.60","202.85","204.49","202.32","","0.62%"
"04/04/2008","202.35","204.10","205.18","202.12","","-0.90%"
"04/03/2008","204.19","203.37","204.61","202.60","","0.40%"
"04/02/2008","203.37","201.16","204.06","200.80","","1.06%"
"04/01/2008","201.23","198.07","201.74","196.97","","1.54%"
"03/31/2008","198.17","197.46","200.12","196.78","","0.24%"
"03/28/2008","197.70","199.89","200.51","197.49","","-1.26%"
"03/27/2008","200.23","198.71","201.77","197.71","","0.74%"
"03/26/2008","198.76","200.36","201.08","197.52","","-1.00%"
"03/25/2008","200.76","199.94","200.98","198.91","","0.32%"
"03/24/2008","200.11","196.79","200.45","196.78","","1.35%"
"03/21/2008","197.45","197.23","198.04","196.55","","0.10%"
"03/20/2008","197.25","195.44","198.36","195.08","","0.90%"
"03/19/2008","195.50","200.73","201.86","195.44","","-2.43%"
"03/18/2008","200.36","194.39","200.69","193.48","","2.75%"
"03/17/2008","195.00","198.95","199.85","192.48","","-2.51%"
"03/14/2008","200.03","204.29","205.17","199.82","","-2.08%"
"03/13/2008","204.28","205.38","206.15","202.92","","-0.76%"
"03/12/2008","205.85","207.59","208.02","205.71","","-0.77%"
