"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2022","1.6484","1.6429","1.6516","1.6329","125.34K","0.41%"
"05/20/2022","1.6416","1.6507","1.6558","1.6382","156.14K","-0.53%"
"05/19/2022","1.6504","1.6480","1.6609","1.6385","173.69K","0.18%"
"05/18/2022","1.6475","1.6700","1.6720","1.6461","147.14K","-1.32%"
"05/17/2022","1.6696","1.6596","1.6741","1.6557","134.41K","0.64%"
"05/16/2022","1.6590","1.6684","1.6732","1.6559","124.96K","-0.49%"
"05/13/2022","1.6672","1.6574","1.6720","1.6562","158.24K","0.63%"
"05/12/2022","1.6568","1.6762","1.6798","1.6463","184.37K","-1.28%"
"05/11/2022","1.6782","1.6892","1.6907","1.6733","165.85K","-0.61%"
"05/10/2022","1.6885","1.6838","1.6904","1.6768","170.12K","0.31%"
"05/09/2022","1.6833","1.6959","1.7017","1.6789","119.31K","-0.73%"
"05/06/2022","1.6956","1.7014","1.7090","1.6904","148.67K","-0.27%"
"05/05/2022","1.7002","1.6921","1.7074","1.6878","154.04K","0.52%"
"05/04/2022","1.6914","1.7014","1.7093","1.6861","117.74K","-0.57%"
"05/03/2022","1.7011","1.7014","1.7027","1.6938","119.05K","-0.01%"
"05/02/2022","1.7012","1.6956","1.7069","1.6934","114.73K","0.31%"
"04/29/2022","1.6960","1.7069","1.7090","1.6896","161.69K","-0.61%"
"04/28/2022","1.7064","1.6760","1.7120","1.6747","166.07K","1.86%"
"04/27/2022","1.6752","1.6593","1.6782","1.6555","133.31K","1.01%"
"04/26/2022","1.6585","1.6697","1.6770","1.6579","151.26K","-0.62%"
"04/25/2022","1.6688","1.6816","1.6852","1.6616","152.86K","-0.71%"
"04/22/2022","1.6807","1.6834","1.6876","1.6729","139.97K","-0.12%"
"04/21/2022","1.6828","1.6768","1.6887","1.6760","159.59K","0.40%"
"04/20/2022","1.6761","1.6863","1.6928","1.6716","166.62K","-0.58%"
"04/19/2022","1.6858","1.6647","1.6880","1.6644","135.97K","1.32%"
"04/18/2022","1.6639","1.6563","1.6651","1.6539","93.01K","0.56%"
"04/15/2022","1.6547","1.6500","1.6606","1.6498","144.86K","0.33%"
"04/14/2022","1.6492","1.6509","1.6533","1.6431","128.05K","-0.06%"
"04/13/2022","1.6502","1.6478","1.6573","1.6458","127.01K","0.19%"
"04/12/2022","1.6470","1.6531","1.6558","1.6390","110.79K","-0.32%"
"04/11/2022","1.6523","1.6331","1.6578","1.6323","106.30K","0.98%"
"04/08/2022","1.6362","1.6324","1.6410","1.6291","102.84K","0.26%"
"04/07/2022","1.6319","1.6301","1.6346","1.6257","103.25K","0.15%"
"04/06/2022","1.6294","1.6380","1.6448","1.6266","118.00K","-0.49%"
"04/05/2022","1.6374","1.6276","1.6415","1.6213","96.11K","0.65%"
"04/04/2022","1.6268","1.6137","1.6303","1.6088","114.93K","0.96%"
"04/01/2022","1.6114","1.6026","1.6204","1.6023","135.49K","0.57%"
"03/31/2022","1.6022","1.6073","1.6171","1.5982","139.71K","-0.23%"
"03/30/2022","1.6059","1.6236","1.6283","1.6019","145.51K","-1.05%"
"03/29/2022","1.6230","1.6259","1.6337","1.6140","158.30K","-0.33%"
"03/28/2022","1.6283","1.5989","1.6429","1.5987","130.71K","1.79%"
"03/25/2022","1.5997","1.6035","1.6046","1.5907","110.07K","-0.21%"
"03/24/2022","1.6031","1.5831","1.6057","1.5805","95.09K","1.28%"
"03/23/2022","1.5828","1.5863","1.5947","1.5778","111.34K","-0.16%"
"03/22/2022","1.5853","1.5662","1.5891","1.5656","95.49K","1.23%"
"03/21/2022","1.5660","1.5668","1.5689","1.5618","66.51K","-0.03%"
"03/18/2022","1.5664","1.5618","1.5689","1.5592","74.40K","0.33%"
"03/17/2022","1.5612","1.5581","1.5680","1.5576","93.18K","0.22%"
"03/16/2022","1.5578","1.5481","1.5637","1.5460","100.19K","0.66%"
"03/15/2022","1.5476","1.5458","1.5509","1.5363","105.13K","0.14%"
"03/14/2022","1.5454","1.5337","1.5465","1.5331","90.77K","0.85%"
"03/11/2022","1.5323","1.5220","1.5340","1.5215","109.01K","0.72%"
"03/10/2022","1.5214","1.5165","1.5259","1.5162","107.12K","0.37%"
"03/09/2022","1.5158","1.5041","1.5175","1.5037","98.57K","0.81%"
"03/08/2022","1.5036","1.4979","1.5071","1.4963","106.82K","0.38%"
"03/07/2022","1.4979","1.5023","1.5057","1.4910","115.63K","-0.25%"
"03/04/2022","1.5016","1.5199","1.5213","1.4996","117.91K","-1.17%"
"03/03/2022","1.5193","1.5273","1.5300","1.5187","92.73K","-0.47%"
"03/02/2022","1.5264","1.5163","1.5296","1.5146","112.05K","0.72%"
"03/01/2022","1.5155","1.5228","1.5307","1.5129","105.02K","-0.43%"
"02/28/2022","1.5221","1.5316","1.5423","1.5209","119.24K","-1.10%"
"02/25/2022","1.5390","1.5279","1.5421","1.5266","112.25K","0.76%"
"02/24/2022","1.5274","1.5405","1.5418","1.5135","145.90K","-0.82%"
"02/23/2022","1.5401","1.5421","1.5453","1.5390","89.40K","-0.11%"
"02/22/2022","1.5418","1.5396","1.5441","1.5285","127.23K","0.18%"
"02/21/2022","1.5390","1.5388","1.5464","1.5369","90.36K","-0.03%"
"02/18/2022","1.5394","1.5303","1.5460","1.5291","111.48K","0.60%"
"02/17/2022","1.5302","1.5389","1.5408","1.5296","122.74K","-0.50%"
"02/16/2022","1.5379","1.5381","1.5445","1.5360","112.64K","0.03%"
"02/15/2022","1.5374","1.5266","1.5396","1.5227","108.92K","0.75%"
"02/14/2022","1.5259","1.5299","1.5343","1.5213","120.36K","-0.34%"
"02/11/2022","1.5311","1.5447","1.5470","1.5250","115.42K","-0.84%"
"02/10/2022","1.5440","1.5440","1.5465","1.5402","114.82K","0.05%"
"02/09/2022","1.5432","1.5465","1.5488","1.5410","103.17K","-0.16%"
"02/08/2022","1.5457","1.5417","1.5478","1.5411","117.90K","0.27%"
"02/07/2022","1.5415","1.5437","1.5453","1.5379","112.63K","-0.11%"
"02/04/2022","1.5432","1.5402","1.5449","1.5362","115.61K","0.20%"
"02/03/2022","1.5401","1.5296","1.5406","1.5273","114.63K","0.73%"
"02/02/2022","1.5289","1.5347","1.5374","1.5259","87.19K","-0.33%"
"02/01/2022","1.5340","1.5441","1.5457","1.5316","96.22K","-0.60%"
"01/31/2022","1.5433","1.5354","1.5474","1.5352","97.32K","0.52%"
"01/28/2022","1.5353","1.5339","1.5432","1.5325","108.72K","0.14%"
"01/27/2022","1.5331","1.5306","1.5366","1.5227","113.87K","0.22%"
"01/26/2022","1.5298","1.5230","1.5314","1.5205","98.99K","0.51%"
"01/25/2022","1.5221","1.5270","1.5286","1.5209","132.19K","-0.24%"
"01/24/2022","1.5257","1.5275","1.5324","1.5197","137.73K","-0.10%"
"01/21/2022","1.5272","1.5323","1.5330","1.5239","112.63K","-0.29%"
"01/20/2022","1.5316","1.5355","1.5405","1.5315","113.18K","-0.21%"
"01/19/2022","1.5349","1.5371","1.5402","1.5303","123.95K","-0.13%"
"01/18/2022","1.5369","1.5438","1.5474","1.5351","130.78K","-0.40%"
"01/17/2022","1.5430","1.5401","1.5443","1.5381","87.40K","0.20%"
"01/14/2022","1.5399","1.5437","1.5443","1.5294","109.42K","-0.21%"
"01/13/2022","1.5432","1.5536","1.5544","1.5409","91.52K","-0.62%"
"01/12/2022","1.5528","1.5619","1.5646","1.5497","93.62K","-0.54%"
"01/11/2022","1.5613","1.5564","1.5657","1.5551","95.53K","0.33%"
"01/10/2022","1.5561","1.5568","1.5630","1.5527","89.54K","0.04%"
"01/07/2022","1.5555","1.5572","1.5615","1.5551","83.39K","-0.09%"
"01/06/2022","1.5569","1.5632","1.5642","1.5527","104.38K","-0.38%"
"01/05/2022","1.5628","1.5585","1.5642","1.5535","84.17K","0.33%"
"01/04/2022","1.5576","1.5503","1.5600","1.5494","83.71K","0.52%"
"01/03/2022","1.5495","1.5452","1.5537","1.5445","51.82K","0.32%"
"12/31/2021","1.5446","1.5467","1.5538","1.5432","64.28K","-0.08%"
"12/30/2021","1.5459","1.5417","1.5500","1.5410","67.19K","0.30%"
"12/29/2021","1.5412","1.5368","1.5424","1.5347","76.55K","0.32%"
"12/28/2021","1.5363","1.5317","1.5388","1.5306","69.38K","0.33%"
"12/27/2021","1.5312","1.5251","1.5329","1.5220","51.19K","0.42%"
"12/24/2021","1.5248","1.5245","1.5265","1.5202","109.93K","0.05%"
"12/23/2021","1.5241","1.5122","1.5257","1.5114","88.60K","0.84%"
"12/22/2021","1.5114","1.5074","1.5158","1.5051","87.06K","0.32%"
"12/21/2021","1.5066","1.5000","1.5094","1.4993","104.85K","0.47%"
"12/20/2021","1.4996","1.4948","1.5020","1.4897","112.83K","0.31%"
"12/17/2021","1.4949","1.4919","1.4971","1.4872","121.50K","0.20%"
"12/16/2021","1.4919","1.4934","1.5007","1.4898","101.90K","-0.07%"
"12/15/2021","1.4930","1.4955","1.4965","1.4892","111.19K","-0.15%"
"12/14/2021","1.4952","1.4989","1.5001","1.4936","115.27K","-0.22%"
"12/13/2021","1.4985","1.4961","1.5028","1.4957","100.89K","0.11%"
