"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2015","1.8058","1.8298","1.8450","1.7957","","-1.52%"
"09/17/2015","1.8336","1.8380","1.8599","1.8205","","-0.33%"
"09/16/2015","1.8396","1.8017","1.8591","1.7892","","2.06%"
"09/15/2015","1.8024","1.7739","1.8061","1.7448","","1.47%"
"09/14/2015","1.7763","1.7755","1.7887","1.7626","","-0.08%"
"09/11/2015","1.7778","1.7798","1.7980","1.7633","","-0.30%"
"09/10/2015","1.7832","1.7597","1.7889","1.7435","","1.30%"
"09/09/2015","1.7603","1.7595","1.7922","1.7485","","-0.05%"
"09/08/2015","1.7612","1.7241","1.7714","1.7105","","2.05%"
"09/07/2015","1.7258","1.7338","1.7645","1.7191","","-0.69%"
"09/04/2015","1.7378","1.8058","1.8089","1.7352","","-3.82%"
"09/03/2015","1.8068","1.7960","1.8205","1.7679","","0.57%"
"09/02/2015","1.7966","1.8037","1.8142","1.7603","","-0.44%"
"09/01/2015","1.8045","1.8980","1.8990","1.7844","","-4.94%"
"08/31/2015","1.8982","1.8655","1.9018","1.7941","","1.69%"
"08/28/2015","1.8666","1.8288","1.8720","1.7916","","2.03%"
"08/27/2015","1.8295","1.7385","1.8343","1.7337","","5.19%"
"08/26/2015","1.7392","1.7125","1.7480","1.7049","","0.91%"
"08/25/2015","1.7236","1.6685","1.7596","1.6653","","3.18%"
"08/24/2015","1.6704","1.7621","1.7670","1.6407","","-5.48%"
"08/21/2015","1.7672","1.8181","1.8207","1.7601","","-2.80%"
"08/20/2015","1.8182","1.8583","1.8624","1.8087","","-2.21%"
"08/19/2015","1.8593","1.8892","1.9006","1.8545","","-1.63%"
"08/18/2015","1.8901","1.9039","1.9137","1.8812","","-0.77%"
"08/17/2015","1.9047","1.8989","1.9173","1.8916","","-0.60%"
"08/14/2015","1.9162","1.9211","1.9301","1.9062","","-0.30%"
"08/13/2015","1.9219","1.9256","1.9543","1.9083","","-0.23%"
"08/12/2015","1.9263","1.9459","1.9522","1.9071","","-1.11%"
"08/11/2015","1.9479","1.9765","1.9882","1.9314","","-1.50%"
"08/10/2015","1.9775","1.9386","1.9869","1.9216","","1.92%"
"08/07/2015","1.9403","1.9495","1.9683","1.9259","","-0.51%"
"08/06/2015","1.9503","1.9648","1.9742","1.9248","","-0.78%"
