"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2014","138.56","138.76","138.88","138.39","","-0.19%"
"07/04/2014","138.83","139.07","139.17","138.53","","-0.19%"
"07/03/2014","139.09","138.98","139.51","138.90","","0.03%"
"07/02/2014","139.05","138.87","139.11","138.49","","0.12%"
"07/01/2014","138.88","138.72","139.14","138.63","","0.10%"
"06/30/2014","138.74","138.43","138.81","138.05","","0.27%"
"06/27/2014","138.37","138.45","138.53","137.93","","-0.08%"
"06/26/2014","138.48","138.82","138.86","137.87","","-0.27%"
"06/25/2014","138.85","138.73","138.94","138.50","","0.08%"
"06/24/2014","138.74","138.66","138.93","138.40","","0.03%"
"06/23/2014","138.70","138.74","138.91","138.22","","-0.08%"
"06/20/2014","138.81","138.72","138.91","138.48","","0.06%"
"06/19/2014","138.72","138.55","138.92","138.37","","0.11%"
"06/18/2014","138.57","138.35","138.88","138.28","","0.14%"
"06/17/2014","138.37","138.21","138.56","138.13","","0.09%"
"06/16/2014","138.25","138.10","138.31","137.65","","0.01%"
"06/13/2014","138.23","137.81","138.58","137.70","","0.26%"
"06/12/2014","137.87","138.11","138.39","137.67","","-0.20%"
"06/11/2014","138.15","138.63","138.69","137.81","","-0.38%"
"06/10/2014","138.68","139.35","139.44","138.41","","-0.50%"
"06/09/2014","139.38","139.81","140.11","139.20","","-0.31%"
"06/06/2014","139.81","139.84","140.00","139.33","","-0.04%"
"06/05/2014","139.87","139.71","140.02","138.63","","0.11%"
"06/04/2014","139.72","139.68","139.98","139.49","","0.02%"
"06/03/2014","139.69","139.18","139.81","139.05","","0.34%"
"06/02/2014","139.21","138.77","139.38","138.61","","0.33%"
"05/30/2014","138.75","138.43","138.89","138.03","","0.21%"
"05/29/2014","138.46","138.37","138.56","137.92","","0.03%"
"05/28/2014","138.42","139.01","139.15","138.23","","-0.46%"
"05/27/2014","139.06","139.08","139.42","138.77","","-0.05%"
"05/26/2014","139.13","138.92","139.14","138.68","","0.07%"
"05/23/2014","139.03","138.89","139.06","138.55","","0.07%"
"05/22/2014","138.93","138.68","139.16","138.59","","0.13%"
"05/21/2014","138.75","138.81","138.95","138.09","","-0.06%"
"05/20/2014","138.84","139.11","139.34","138.49","","-0.22%"
"05/19/2014","139.15","139.09","139.30","138.57","","0.09%"
"05/16/2014","139.03","139.23","139.50","138.74","","-0.17%"
"05/15/2014","139.27","139.72","139.89","138.93","","-0.34%"
"05/14/2014","139.74","140.11","140.32","139.40","","-0.29%"
"05/13/2014","140.14","140.45","140.98","139.93","","-0.25%"
"05/12/2014","140.49","139.84","140.67","139.84","","0.23%"
"05/09/2014","140.17","140.67","140.86","139.84","","-0.38%"
"05/08/2014","140.70","141.74","142.38","140.47","","-0.76%"
"05/07/2014","141.78","141.60","142.03","141.10","","0.11%"
"05/06/2014","141.62","141.68","142.13","141.30","","-0.08%"
"05/05/2014","141.73","141.64","141.98","141.24","","-0.01%"
"05/02/2014","141.74","141.90","142.38","141.59","","-0.14%"
"05/01/2014","141.94","141.76","142.04","141.60","","0.09%"
"04/30/2014","141.81","141.71","142.19","141.08","","0.04%"
"04/29/2014","141.75","141.92","142.52","141.54","","-0.15%"
"04/28/2014","141.96","141.28","142.18","140.95","","0.45%"
"04/25/2014","141.33","141.47","141.80","140.97","","-0.14%"
"04/24/2014","141.53","141.66","141.84","141.00","","-0.11%"
"04/23/2014","141.68","141.63","142.01","141.13","","0.01%"
"04/22/2014","141.67","141.50","141.82","141.16","","0.09%"
"04/21/2014","141.54","141.50","141.84","141.34","","0.04%"
"04/18/2014","141.49","141.41","141.71","141.33","","0.03%"
"04/17/2014","141.45","141.22","141.65","140.95","","0.14%"
"04/16/2014","141.25","140.76","141.78","140.59","","0.31%"
"04/15/2014","140.81","140.69","140.94","140.18","","0.04%"
"04/14/2014","140.75","140.50","141.00","140.36","","-0.25%"
"04/11/2014","141.10","140.95","141.56","140.59","","0.06%"
"04/10/2014","141.01","141.27","141.58","140.55","","-0.21%"
"04/09/2014","141.31","140.41","141.36","140.39","","0.60%"
"04/08/2014","140.47","141.64","141.75","140.03","","-0.85%"
"04/07/2014","141.68","141.48","141.92","141.08","","0.11%"
"04/04/2014","141.53","142.53","142.65","141.33","","-0.74%"
"04/03/2014","142.58","142.96","143.50","142.24","","-0.30%"
"04/02/2014","143.01","142.93","143.52","142.68","","0.03%"
"04/01/2014","142.97","142.09","143.08","141.94","","0.59%"
"03/31/2014","142.13","141.43","142.64","141.26","","0.50%"
"03/28/2014","141.42","140.36","141.69","139.91","","0.71%"
"03/27/2014","140.42","140.61","141.07","140.12","","-0.17%"
"03/26/2014","140.66","141.37","141.53","140.44","","-0.52%"
"03/25/2014","141.39","141.45","141.61","140.66","","-0.08%"
"03/24/2014","141.50","141.00","141.91","140.66","","0.31%"
